問題類型,單字,目前詞性,建議詞性,例句,來源,說明
同單字詞性矛盾,boom,(n.),需人工確認,There was a sudden boom in online shopping during the holida,三民-B4-U1,"同一單字 ""boom"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,boost,(n.),需人工確認,The positive feedback from my teacher gave a boost to my ent,三民-B5-U2,"同一單字 ""boost"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bottom,(adj.),需人工確認,The bottom drawer is empty.,康軒-B5-U6,"同一單字 ""bottom"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bow,(n.),需人工確認,Lily wore a pink bow in her hair.,翰林-B5-U5,"同一單字 ""bow"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bow,(n.),需人工確認,The musician moved the bow across the strings.,康軒-B6-U3,"同一單字 ""bow"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,break,(v.),需人工確認,Be careful not to break the glass.,翰林-B3-U3,"同一單字 ""break"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,break,(v.),需人工確認,Be careful not to break the glass.,南一-B3-U2,"同一單字 ""break"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,breeze,(n.),需人工確認,"Yvonne sat under a tree reading a book, with her hair blowin",三民-B4-U3,"同一單字 ""breeze"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,brown,(adj.),需人工確認,Kevin has a brown dog named Coco.,翰林-B1-U2,"同一單字 ""brown"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bruise,(n.),需人工確認,The bruises on Melissa’s legs are from falling down the stai,三民-B3-U4,"同一單字 ""bruise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,burden,(v.),需人工確認,This mature boy never expresses his worries to his parents b,三民-B2-U6,"同一單字 ""burden"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,call,(v.),需人工確認,I will call you back in five minutes.,康軒-B3-U2,"同一單字 ""call"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,capable,(adj.),需人工確認,She is very capable and can handle difficult tasks easily.,龍騰-B3-U2,"同一單字 ""capable"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,capture,(v.),需人工確認,"As a wedding photographer, Niki’s job is to capture the impo",三民-B4-U5,"同一單字 ""capture"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,change,(n.),需人工確認,Here is your change.,翰林-B3-U6,"同一單字 ""change"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,change,(v.),需人工確認,I want to change my plan because I am too busy today.,南一-B4-U5,"同一單字 ""change"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,characteristic,(adj.),需人工確認,"These colorful houses are characteristic of Burano, an islan",三民-B3-U4,"同一單字 ""characteristic"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,chat,(n.),需人工確認,We had a nice chat after dinner.,康軒-B1-U5,"同一單字 ""chat"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,chat,(n.),需人工確認,"Tom and Sheldon haven’t seen each other for a year, so they ",三民-B4-U4,"同一單字 ""chat"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,civilization,(n.),需人工確認,Ancient Egypt was one of the earliest great civilizations in,龍騰-B3-U3,"同一單字 ""civilization"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,cold,(adj.),需人工確認,The water is too cold.,南一-B2-U2,"同一單字 ""cold"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,cold,(adj.),需人工確認,It is very cold in the mountains.,翰林-B2-U6,"同一單字 ""cold"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,collapse,(v.),需人工確認,"John’s company collapsed when he lost all of his money, leav",三民-B3-U7,"同一單字 ""collapse"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,comb,(n.),需人工確認,I need a comb for my messy hair.,翰林-B5-U2,"同一單字 ""comb"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,comment,(n.),需人工確認,She made a positive comment about my work.,南一-B5-U4,"同一單字 ""comment"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,comment,(n.),需人工確認,"In this online learning program, viewers can leave comments ",三民-B4-U4,"同一單字 ""comment"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,communicate,(v.),需人工確認,It's important to communicate clearly with your teammates.,龍騰-B1-U2,"同一單字 ""communicate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,compromise,(n.),需人工確認,"After hours of negotiation, the two parties finally reached ",三民-B5-U6,"同一單字 ""compromise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,concept,(n.),需人工確認,The concept of democracy ensures that all citizens have a sa,龍騰-B3-U4,"同一單字 ""concept"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,concrete,(n.),需人工確認,"Unlike traditional houses which are made of wood, modern apa",三民-B3-U6,"同一單字 ""concrete"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,conflict,(n.),需人工確認,The students are in conflict with the teachers because they ,三民-B2-U2,"同一單字 ""conflict"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,connect,(n.),需人工確認,There's a strong connection between regular exercise and goo,龍騰-B1-U2,"同一單字 ""connect"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,construct,(v.),需人工確認,Workers are constructing a new bridge across the river.,龍騰-B3-U2,"同一單字 ""construct"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,contemporary,(adj.),需人工確認,Contemporary art often challenges traditional ideas of what ,三民-B5-U4,"同一單字 ""contemporary"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,content,(v.),需人工確認,Nothing could content the baby more than a warm bottle of mi,,"同一單字 ""content"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,content,(n.),需人工確認,The content of the graduation speech deeply moved the studen,三民-B4-U4,"同一單字 ""content"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,contrast,(n.),需人工確認,The contrast between the bustling city streets and the peace,三民-B3-U6,"同一單字 ""contrast"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,converse,(v.),需人工確認,I love to converse with my grandparents about their life exp,,"同一單字 ""converse"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,converse,(adj.),需人工確認,The partners’ goals are converse: one seeks to expand the bu,三民-B5-U4,"同一單字 ""converse"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,cook,(n.),需人工確認,My aunt is a great cook.,康軒-B1-U1,"同一單字 ""cook"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,core,(n.),需人工確認,The core of the problem is a lack of communication.,龍騰-B5-U3,"同一單字 ""core"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,core,(adj.),需人工確認,The team focused on core values like honesty and teamwork to,三民-B5-U4,"同一單字 ""core"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,cost,(v.),需人工確認,How much does this book cost?,翰林-B3-U6,"同一單字 ""cost"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,cover,(v.),需人工確認,Please cover the pot while cooking.,翰林-B5-U6,"同一單字 ""cover"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,craft,(n.),需人工確認,She sells beautiful handmade crafts at the local market ever,,"同一單字 ""craft"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,craft,(v.),需人工確認,,三民-B4-U1,"同一單字 ""craft"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,criminal,(adj.),需人工確認,Those who have a criminal record often have difficulty getti,三民-B3-U4,"同一單字 ""criminal"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,criticism,(adj.),需人工確認,Getting good grades in high school is critical for universit,龍騰-B4-U9,"同一單字 ""criticism"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,cue,(n.),需人工確認,"Linda took her manager’s yawn as a cue to end the meeting, s",三民-B5-U4,"同一單字 ""cue"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,deal,(n.),需人工確認,The two companies made a deal.,康軒-B5-U6,"同一單字 ""deal"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,debate,(n.),需人工確認,There is a heated debate about the best age to start learnin,三民-B2-U2,"同一單字 ""debate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,debut,(n.),需人工確認,The singer made her debut at the music festival last night.,,"同一單字 ""debut"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,debut,(v.),需人工確認,"The brand debuted a new marketing campaign, aiming to captur",三民-B4-U4,"同一單字 ""debut"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,decline,(v.),需人工確認,With leopard cats continuing to decline in number because of,三民-B2-U9,"同一單字 ""decline"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,delay,(v.),需人工確認,"Because of the typhoon, the ball game is delayed until next ",三民-B2-U2,"同一單字 ""delay"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,delight,(n.),需人工確認,"To Luke’s delight, his grandparents gave him the bike he had",三民-B5-U2,"同一單字 ""delight"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,demand,(v.),需人工確認,The president of the Hip-Hop Dance Club demanded an explanat,三民-B5-U6,"同一單字 ""demand"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,deny,(v.),需人工確認,"He denied stealing the money, despite the strong evidence.",龍騰-B1-U2,"同一單字 ""deny"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,design,(n.),需人工確認,Amy helped design the class poster.,康軒-B1-U4,"同一單字 ""design"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,design,(v.),需人工確認,The engineers designed a new online pre-order application to,三民-B2-U3,"同一單字 ""design"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,despair,(n.),需人工確認,The victims of the earthquake were in despair because they h,三民-B5-U3,"同一單字 ""despair"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,dim,(adj.),需人工確認,"In the dim light of the room, I could hardly read the words ",三民-B4-U6,"同一單字 ""dim"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,disposable,(adj.),需人工確認,The government encourages tea shops to offer discounts to cu,三民-B5-U2,"同一單字 ""disposable"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,distance,(n.),需人工確認,The distance from Taipei to Kaohsiung is quite far.,龍騰-B1-U3,"同一單字 ""distance"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,distribution,(v.),需人工確認,The teacher will distribute the test papers after class.,龍騰-B3-U3,"同一單字 ""distribution"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,divide,(n.),需人工確認,Experts worry that a war will break out between the two coun,三民-B2-U2,"同一單字 ""divide"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,document,(v.),需人工確認,This book focuses on nineteenth-century British history and ,三民-B4-U5,"同一單字 ""document"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,doubt,(n.),需人工確認,Jessica’s parents had doubt about her passing the challengin,三民-B3-U8,"同一單字 ""doubt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,dream,(n.),需人工確認,My dream is to travel around the world.,康軒-B3-U4,"同一單字 ""dream"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,dress,(v.),需人工確認,She likes to dress up for parties.,翰林-B3-U6,"同一單字 ""dress"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,drip,(v.),需人工確認,The tap needs to be repaired. It keeps dripping.,三民-B2-U1,"同一單字 ""drip"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,dry,(adj.),需人工確認,My hands feel very dry in the winter.,康軒-B3-U3,"同一單字 ""dry"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,ease,(v.),需人工確認,Eating healthy food and exercising regularly can help ease y,三民-B2-U9,"同一單字 ""ease"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,east,(n.),需人工確認,The sun rises in the east.,康軒-B3-U6,"同一單字 ""east"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,element,(n.),需人工確認,Communication is a key element of a successful relationship.,龍騰-B3-U2,"同一單字 ""element"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,embrace,(v.),需人工確認,,三民-B3-U2,"同一單字 ""embrace"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,encounter,(v.),需人工確認,"If you encounter any difficulties, please let me know so tha",三民-B3-U5,"同一單字 ""encounter"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,end,(n.),需人工確認,The movie has a happy end.,翰林-B3-U2,"同一單字 ""end"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,endeavor,(n.),需人工確認,The volunteers made every endeavor to support the community ,三民-B5-U1,"同一單字 ""endeavor"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,entrance,(v.),需人工確認,Please enter your password to log in.,龍騰-B3-U5,"同一單字 ""entrance"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,equal,(adj.),需人工確認,Martin Luther King’s major goal was to achieve equal rights ,三民-B3-U1,"同一單字 ""equal"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,escape,(n.),需人工確認,Many people like to watch soap operas because they are an es,三民-B2-U3,"同一單字 ""escape"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,essential,(n.),需人工確認,The essence of her argument was that everyone deserves equal,龍騰-B3-U4,"同一單字 ""essential"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,essential,(adj.),需人工確認,"Air, water, and food are essential for human beings. No one ",三民-B2-U7,"同一單字 ""essential"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,estimate,(v.),需人工確認,The Harry Potter books are estimated to have sold more than ,三民-B3-U1,"同一單字 ""estimate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,excerpt,(n.),需人工確認,The teacher assigned the students to analyze an excerpt from,三民-B4-U9,"同一單字 ""excerpt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,exercise,(n.),需人工確認,We did three grammar exercises in class.,翰林-B5-U5,"同一單字 ""exercise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,exercise,(v.),需人工確認,Swimming is a good exercise for your health.,康軒-B2-U1,"同一單字 ""exercise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,experience,(n.),需人工確認,It was a good experience.,翰林-B3-U5,"同一單字 ""experience"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,explore,(v.),需人工確認,We decided to explore the ancient cave during our trip.,龍騰-B3-U2,"同一單字 ""explore"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,face,(n.),需人工確認,Wash your face with warm water.,康軒-B2-U1,"同一單字 ""face"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,face,(n.),需人工確認,He has a smile on his face.,南一-B2-U2,"同一單字 ""face"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,faint,(v.),需人工確認,"Despite her remarkable academic performance, Julia didn’t wa",三民-B4-U6,"同一單字 ""faint"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,fall,(n.),需人工確認,Fall is a great time to go hiking.,翰林-B3-U1,"同一單字 ""fall"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,fall,(n.),需人工確認,Leaves turn red in fall.,南一-B2-U2,"同一單字 ""fall"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,favorite,(adj.),需人工確認,What is your favorite movie of all time?,康軒-B3-U6,"同一單字 ""favorite"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,favorite,(n.),需人工確認,Ice cream is Jason's favorite.,翰林-B1-U2,"同一單字 ""favorite"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,female,(adj.),需人工確認,"The club only accepts female members, so men are not allowed",三民-B3-U3,"同一單字 ""female"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,fight,(n.),需人工確認,There was a small fight over a toy.,翰林-B1-U3,"同一單字 ""fight"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,firm,(adj.),需人工確認,"Growing up in a religious family, Melissa developed a firm b",三民-B3-U3,"同一單字 ""firm"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,first,(adj.),需人工確認,This is my first English book.,翰林-B1-U5,"同一單字 ""first"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,following,(n.),需人工確認,Answer the following questions carefully.,康軒-B2-U2,"同一單字 ""following"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,following,(adj.),需人工確認,"Jeremy’s wallet was stolen the other day. Strangely, it appe",三民-B2-U6,"同一單字 ""following"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,fool,(v.),需人工確認,Don't try to fool your teacher.,康軒-B5-U6,"同一單字 ""fool"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,form,(v.),需人工確認,Clouds form when water in the air gets cold.,康軒-B5-U4,"同一單字 ""form"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,form,(v.),需人工確認,"The team has worked together for ten years, so the members h",三民-B3-U9,"同一單字 ""form"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,fourth,(adj.),需人工確認,Today is the fourth day of school.,翰林-B1-U5,"同一單字 ""fourth"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,freeze,(v.),需人工確認,Water will freeze when it is very cold.,南一-B1-U6,"同一單字 ""freeze"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,freeze ,(v.),需人工確認,The water in the bottle froze last night.,康軒-B5-U1,"同一單字 ""freeze"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,fun,(n.),需人工確認,Playing board games with friends is fun.,翰林-B3-U1,"同一單字 ""fun"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,furious,(adj.),需人工確認,My mom was furious when she found out I broke her vase.,龍騰-B3-U3,"同一單字 ""furious"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,future,(n.),需人工確認,What are your plans for the future?,康軒-B3-U4,"同一單字 ""future"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,future,(n.),需人工確認,What do you want to be in the future?,翰林-B3-U4,"同一單字 ""future"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,gain,(v.),需人工確認,The experienced teacher quickly gained control of the noisy ,三民-B3-U4,"同一單字 ""gain"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,generous,(adj.),需人工確認,My aunt is very generous and always shares her food.,龍騰-B3-U3,"同一單字 ""generous"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,glow,(v.),需人工確認,The city skyline glowed with the lights of skyscrapers again,三民-B4-U7,"同一單字 ""glow"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,graduate,(v.),需人工確認,My brother will graduate from high school soon.,南一-B6-U4,"同一單字 ""graduate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
